tconst,title,actor,actress,director,startYear,runtimeMinutes,genres,averageRating,numVotes
tt0099066,Savage Attraction,,,,1990.0,83.0,Drama,4.4,23
tt0099067,Au chic resto pop,,,,1990.0,84.0,Documentary,6.6,20
tt0099071,L'autre,,,,1991.0,100.0,Drama,7.4,57
tt0099072,In the Eyes of the World,,,,1991.0,95.0,"Drama,Thriller",6.1,362
tt0099073,Avalon,,,,1990.0,128.0,Drama,7.2,6598
tt0099074,Aventure de Catherine C.,,,,1990.0,100.0,Drama,4.8,56
tt0099075,L'autostop,,,,1991.0,56.0,Comedy,5.9,173
tt0099076,Awaargi,,,,1990.0,149.0,Drama,6.0,192
tt0099077,Awakenings,"Robert De Niro,Robin Williams",,,1990.0,121.0,"Biography,Drama",7.8,151713
tt0099078,BB saam sap,,,,1990.0,90.0,Comedy,6.1,19
tt0099080,Baaghi: A Rebel for Love,,,,1990.0,157.0,"Action,Drama,Romance",5.9,1773
tt0099081,Baap Numbri Beta Dus Numbri,,,,1990.0,152.0,"Action,Comedy,Crime",6.1,361
tt0099083,Babnik,,,,1990.0,74.0,Comedy,5.1,162
tt0099085,Back Stab,,,,1990.0,91.0,"Crime,Drama,Mystery",5.1,249
tt0099088,Back to the Future Part III,,,Robert Zemeckis,1990.0,118.0,"Adventure,Comedy,Sci-Fi",7.4,466305
tt0099089,Back to the USSR,,,,1992.0,94.0,"Comedy,Drama",5.6,217
tt0099090,Backstreet Dreams,,,,1990.0,96.0,"Crime,Drama,Romance",4.8,283
tt0099091,Bad Influence,,,,1990.0,99.0,"Drama,Thriller",6.3,10385
tt0099092,Bad Jim,,,,1990.0,90.0,"Drama,Western",4.1,236
tt0099094,Al-bahths an Al-Sayyid Marzuq,,,,1990.0,85.0,Drama,7.2,145
tt0099095,Bail Jumper,,,,1990.0,93.0,Comedy,6.5,45
tt0099097,Bakenbardy,,,,1990.0,100.0,Comedy,7.5,448
tt0099098,Le bal du gouverneur,,,,1990.0,98.0,"Drama,Romance",5.8,86
tt0099100,Bananen - Skræl den før din nabo,,,,1990.0,77.0,Comedy,3.6,99
tt0099101,Banani,,,,1990.0,108.0,inconnus,8.1,9
tt0099103,Bandits,,,,1991.0,95.0,"Action,Adventure,War",6.7,189
tt0099104,Behind the Pink Door,,,,1992.0,89.0,"Crime,Drama,Thriller",4.0,53
tt0099106,"Barcelona, lament",,,,1990.0,125.0,inconnus,5.0,24
tt0099108,Basket Case 2,,,,1990.0,90.0,"Comedy,Horror",5.4,5423
tt0099109,Basta! Adesso tocca a noi,,,,1990.0,100.0,Comedy,5.4,10
tt0099110,Swimming Upstream,,,,1990.0,95.0,"Romance,Sport",6.4,54
tt0099111,La batalla de los Tres Reyes,,,,1990.0,245.0,"Action,Drama,History",6.5,102
tt0099114,Bei mir liegen Sie richtig,,,,1990.0,84.0,Comedy,5.5,236
tt0099118,Benvenuti in casa Gori,,,,1990.0,96.0,"Comedy,Drama",7.0,221
tt0099119,Berdel,,,,1990.0,85.0,"Drama,Family,Romance",6.9,322
tt0099120,Der Berg,,,,1990.0,103.0,Drama,6.7,65
tt0099121,Berkeley in the Sixties,,,,1990.0,117.0,"Documentary,History",7.4,759
tt0099123,Bes v rebro,,,,1990.0,80.0,"Crime,Mystery",5.8,27
tt0099124,The Tantana,,,,1991.0,91.0,"Action,Comedy,Fantasy",5.4,81
tt0099125,Best Shots,,,,1990.0,78.0,Comedy,4.7,16
tt0099126,The Best of the Martial Arts Films,,,,1990.0,90.0,"Action,Documentary",7.1,432
